group_name,proposed_algorithm,baseline_algorithm,proposed_success_rate,baseline_success_rate,success_rate_delta,proposed_avg_runtime_s_solved,baseline_avg_runtime_s_solved,runtime_ratio_proposed_over_baseline,proposed_avg_peak_memory_mb,baseline_avg_peak_memory_mb,memory_ratio_proposed_over_baseline,proposed_avg_nodes_expanded,baseline_avg_nodes_expanded,expanded_ratio_proposed_over_baseline,proposed_avg_solution_cost,baseline_avg_solution_cost,solution_cost_delta,interpretation
all_domains,mp-rbfs-best_first,ilbfs,0.5,0.6,-0.09999999999999998,7.317684714111965,21.385509018422454,0.3421795902921075,156.8041015625,135.848046875,1.1542609935848591,1477338.0,1128358.1,1.3092811581713286,25.9,26.916666666666668,-1.0166666666666693,Baseline solved more instances than proposed.
all_domains,mp-rbfs-best_first,rbfs,0.5,1.0,-0.5,7.317684714111965,2.5407843556051377,2.880088858375041,156.8041015625,157.7654296875,0.993906598378972,1477338.0,42878.55,34.45401022189416,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
all_domains,mp-rbfs-best_first,mp-bfs-best_first,0.5,1.0,-0.5,7.317684714111965,1.7446148960560095,4.194441266467919,156.8041015625,145.9908203125,1.0740682272135582,1477338.0,31346.75,47.12890491039741,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
all_domains,mp-bfs-best_first,astar,1.0,1.0,0.0,1.7446148960560095,1.2582347472955007,1.3865575559774943,145.9908203125,138.9166015625,1.0509242140279198,31346.75,28167.45,1.1128714171854392,30.5,30.5,0.0,Both solved the same number of instances; baseline was faster.
n_puzzle,mp-rbfs-best_first,ilbfs,0.5,0.6,-0.09999999999999998,7.317684714111965,21.385509018422454,0.3421795902921075,156.8041015625,135.848046875,1.1542609935848591,1477338.0,1128358.1,1.3092811581713286,25.9,26.916666666666668,-1.0166666666666693,Baseline solved more instances than proposed.
n_puzzle,mp-rbfs-best_first,rbfs,0.5,1.0,-0.5,7.317684714111965,2.5407843556051377,2.880088858375041,156.8041015625,157.7654296875,0.993906598378972,1477338.0,42878.55,34.45401022189416,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
n_puzzle,mp-rbfs-best_first,mp-bfs-best_first,0.5,1.0,-0.5,7.317684714111965,1.7446148960560095,4.194441266467919,156.8041015625,145.9908203125,1.0740682272135582,1477338.0,31346.75,47.12890491039741,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
n_puzzle,mp-bfs-best_first,astar,1.0,1.0,0.0,1.7446148960560095,1.2582347472955007,1.3865575559774943,145.9908203125,138.9166015625,1.0509242140279198,31346.75,28167.45,1.1128714171854392,30.5,30.5,0.0,Both solved the same number of instances; baseline was faster.
