domain_name,algorithm_name,total_runs,solved_runs,success_rate,memory_limit_rate,node_limit_rate,stack_exhausted_rate,avg_runtime_s_solved,median_runtime_s_solved,avg_peak_memory_mb,avg_nodes_expanded,avg_nodes_generated,avg_solution_cost_solved,avg_solution_depth_solved,avg_optimality_gap_vs_astar,avg_optimality_gap_vs_known_optimal,avg_reexpansions,reexpansion_ratio,avg_total_collapses,collapse_ratio,avg_max_proc_tree_size,avg_proc_switches,avg_phase1_expanded,avg_phase2_expanded,avg_actual_num_procs,avg_winning_proc_expansions
n_puzzle,astar,20,20,1.0,0.0,0.0,0.0,1.2582347472955007,0.1661448740051128,138.9166015625,28167.45,54198.6,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_puzzle,ilbfs,20,12,0.6,0.0,0.4,0.0,21.385509018422454,0.2252221314702183,135.848046875,1128358.1,2290919.45,26.916666666666668,26.916666666666668,0.0,0.0,500626.55,0.4436770117571718,1128334.85,0.9999793948392802,0.0,0.0,0.0,0.0,0.0,0.0
n_puzzle,mp-bfs-best_first,20,20,1.0,0.0,0.0,0.0,1.7446148960560095,0.2878408480028156,145.9908203125,31346.75,60156.9,30.5,30.5,0.0,0.0,363.45,0.011594503417419669,0.0,0.0,0.0,30787.75,93.6,31253.15,89.85,1781.1
n_puzzle,mp-bfs-proportional,20,20,1.0,0.0,0.0,0.0,2.887355242591002,0.32761058703181334,166.3369140625,50833.4,97956.3,32.3,32.3,1.8,1.8,1170.75,0.02303111733623956,0.0,0.0,0.0,50240.7,93.6,50739.8,89.85,510.5
n_puzzle,mp-bfs-round_robin,20,20,1.0,0.0,0.0,0.0,2.7027941550535615,0.3158125240006484,164.398046875,49940.5,96234.6,32.9,32.9,2.4,2.4,1170.65,0.023440894664650935,0.0,0.0,0.0,49847.9,93.6,49846.9,89.85,501.95
n_puzzle,mp-rbfs-best_first,20,10,0.5,0.0,0.5,0.0,7.317684714111965,0.11918962400523014,156.8041015625,1477338.0,2579226.25,25.9,25.9,0.0,0.0,377912.1,0.2558061188434874,1476902.4,0.9997051453357323,43.2,551936.3,93.6,1477244.4,89.85,32.15
n_puzzle,mp-rbfs-proportional,20,14,0.7,0.0,0.3,0.0,12.0289320135697,0.4946012665168382,151.97109375,972000.85,1671988.75,29.571428571428573,29.571428571428573,1.7142857142857142,1.7142857142857142,311686.65,0.32066499736085624,971179.2,0.9991546818091774,44.75,961885.5,93.6,971907.25,89.85,868.8
n_puzzle,mp-rbfs-round_robin,20,15,0.75,0.0,0.25,0.0,20.18344979392908,0.4855853999615647,153.1189453125,903361.3,1565847.8,30.6,30.6,2.0,2.0,325481.25,0.360300192182242,902545.45,0.9990968729787295,45.05,903268.65,93.6,903267.7,89.85,1876.05
n_puzzle,rbfs,20,20,1.0,0.0,0.0,0.0,2.5407843556051377,0.3155152865219861,157.7654296875,42878.55,80960.95,30.5,30.5,0.0,0.0,0.0,0.0,60493.9,1.4108196289286834,0.0,0.0,0.0,0.0,0.0,0.0
