domain_name,instance_id,difficulty_label,instance_source,algorithm_name,success,memory_limit_reached,node_limit_reached,stack_exhausted,runtime_seconds,peak_memory_mb,nodes_expanded,nodes_generated,solution_cost,solution_depth,known_optimal_depth,optimality_gap_vs_astar,optimality_gap_vs_known_optimal
n_puzzle,amit1_d21,amit_depth_21,amit,astar,True,False,False,False,0.00440393399912864,18.8515625,102,201,21.0,21.0,21.0,0.0,0.0
n_puzzle,amit1_d21,amit_depth_21,amit,ilbfs,True,False,False,False,0.028639928001211956,19.01171875,393,841,21.0,21.0,21.0,0.0,0.0
n_puzzle,amit1_d21,amit_depth_21,amit,rbfs,True,False,False,False,0.007302493002498522,19.15234375,179,349,21.0,21.0,21.0,0.0,0.0
n_puzzle,amit1_d21,amit_depth_21,amit,mp-rbfs-best_first,True,False,False,False,0.007815190001565497,19.26171875,201,406,21.0,21.0,21.0,0.0,0.0
n_puzzle,amit1_d21,amit_depth_21,amit,mp-rbfs-round_robin,True,False,False,False,0.011504119000164792,19.57421875,357,737,21.0,21.0,21.0,0.0,0.0
n_puzzle,amit1_d21,amit_depth_21,amit,mp-rbfs-proportional,True,False,False,False,0.014663653993920889,19.75,401,826,21.0,21.0,21.0,0.0,0.0
n_puzzle,amit2_d22,amit_depth_22,amit,astar,True,False,False,False,0.011366610000550281,19.75390625,338,705,22.0,22.0,22.0,0.0,0.0
n_puzzle,amit2_d22,amit_depth_22,amit,ilbfs,True,False,False,False,0.08110055699944496,19.81640625,1094,2308,22.0,22.0,22.0,0.0,0.0
n_puzzle,amit2_d22,amit_depth_22,amit,rbfs,True,False,False,False,0.02119671000400558,20.125,482,993,22.0,22.0,22.0,0.0,0.0
n_puzzle,amit2_d22,amit_depth_22,amit,mp-rbfs-best_first,True,False,False,False,0.01635203600017121,20.234375,478,988,22.0,22.0,22.0,0.0,0.0
n_puzzle,amit2_d22,amit_depth_22,amit,mp-rbfs-round_robin,True,False,False,False,0.0256856680061901,20.8828125,774,1603,22.0,22.0,22.0,0.0,0.0
n_puzzle,amit2_d22,amit_depth_22,amit,mp-rbfs-proportional,True,False,False,False,0.029140425998775754,20.95703125,825,1686,22.0,22.0,22.0,0.0,0.0
n_puzzle,amit3_d23,amit_depth_23,amit,astar,True,False,False,False,0.033662011999695096,21.0390625,930,1914,23.0,23.0,23.0,0.0,0.0
n_puzzle,amit3_d23,amit_depth_23,amit,ilbfs,True,False,False,False,5.3265621090031345,21.0390625,63564,136277,23.0,23.0,23.0,0.0,0.0
n_puzzle,amit3_d23,amit_depth_23,amit,rbfs,True,False,False,False,0.050871943996753544,21.625,1084,2192,23.0,23.0,23.0,0.0,0.0
n_puzzle,amit3_d23,amit_depth_23,amit,mp-rbfs-best_first,True,False,False,False,0.03972864300158108,21.890625,1168,2367,23.0,23.0,23.0,0.0,0.0
n_puzzle,amit3_d23,amit_depth_23,amit,mp-rbfs-round_robin,True,False,False,False,0.14537107099749846,26.8671875,4113,8274,25.0,25.0,23.0,2.0,2.0
n_puzzle,amit3_d23,amit_depth_23,amit,mp-rbfs-proportional,True,False,False,False,0.13118843999836827,26.65625,3541,7131,25.0,25.0,23.0,2.0,2.0
n_puzzle,amit4_d24,amit_depth_24,amit,astar,True,False,False,False,0.08156589399732184,26.68359375,2197,4460,24.0,24.0,24.0,0.0,0.0
n_puzzle,amit4_d24,amit_depth_24,amit,ilbfs,True,False,False,False,0.27051314400159754,26.68359375,3390,7272,24.0,24.0,24.0,0.0,0.0
n_puzzle,amit4_d24,amit_depth_24,amit,rbfs,True,False,False,False,0.06294825200166088,26.73046875,1331,2678,24.0,24.0,24.0,0.0,0.0
n_puzzle,amit4_d24,amit_depth_24,amit,mp-rbfs-best_first,True,False,False,False,0.07854555799713125,26.73046875,1920,3893,24.0,24.0,24.0,0.0,0.0
n_puzzle,amit4_d24,amit_depth_24,amit,mp-rbfs-round_robin,True,False,False,False,0.10605379199841991,27.0,3192,6431,24.0,24.0,24.0,0.0,0.0
n_puzzle,amit4_d24,amit_depth_24,amit,mp-rbfs-proportional,True,False,False,False,0.11888599800295196,27.1015625,3023,6100,26.0,26.0,24.0,2.0,2.0
n_puzzle,amit5_d25,amit_depth_25,amit,astar,True,False,False,False,0.010890715006098617,27.1015625,299,628,25.0,25.0,25.0,0.0,0.0
n_puzzle,amit5_d25,amit_depth_25,amit,ilbfs,True,False,False,False,0.17528756199317286,27.1015625,2191,4659,25.0,25.0,25.0,0.0,0.0
n_puzzle,amit5_d25,amit_depth_25,amit,rbfs,True,False,False,False,0.04014695400110213,27.1953125,964,1973,25.0,25.0,25.0,0.0,0.0
n_puzzle,amit5_d25,amit_depth_25,amit,mp-rbfs-best_first,True,False,False,False,0.029323153998120688,27.2265625,789,1620,25.0,25.0,25.0,0.0,0.0
n_puzzle,amit5_d25,amit_depth_25,amit,mp-rbfs-round_robin,True,False,False,False,0.04379347299982328,27.23046875,1263,2561,25.0,25.0,25.0,0.0,0.0
n_puzzle,amit5_d25,amit_depth_25,amit,mp-rbfs-proportional,True,False,False,False,0.03464210400125012,27.23046875,988,2011,25.0,25.0,25.0,0.0,0.0
n_puzzle,amit6_d26,amit_depth_26,amit,astar,True,False,False,False,0.002345260996662546,27.23046875,90,183,26.0,26.0,26.0,0.0,0.0
n_puzzle,amit6_d26,amit_depth_26,amit,ilbfs,True,False,False,False,0.0100247730006231,27.23046875,164,341,26.0,26.0,26.0,0.0,0.0
n_puzzle,amit6_d26,amit_depth_26,amit,rbfs,True,False,False,False,0.004659824997361284,27.23046875,122,245,26.0,26.0,26.0,0.0,0.0
n_puzzle,amit6_d26,amit_depth_26,amit,mp-rbfs-best_first,True,False,False,False,0.007027300001936965,27.23046875,221,463,26.0,26.0,26.0,0.0,0.0
n_puzzle,amit6_d26,amit_depth_26,amit,mp-rbfs-round_robin,True,False,False,False,0.04434198300441494,27.23046875,1385,2785,28.0,28.0,26.0,2.0,2.0
n_puzzle,amit6_d26,amit_depth_26,amit,mp-rbfs-proportional,True,False,False,False,0.04629382699931739,27.23046875,1288,2594,26.0,26.0,26.0,0.0,0.0
n_puzzle,amit7_d27,amit_depth_27,amit,astar,True,False,False,False,0.015396587004943285,27.23046875,481,950,27.0,27.0,27.0,0.0,0.0
n_puzzle,amit7_d27,amit_depth_27,amit,ilbfs,True,False,False,False,0.12219499799539335,27.23046875,1569,3274,27.0,27.0,27.0,0.0,0.0
n_puzzle,amit7_d27,amit_depth_27,amit,rbfs,True,False,False,False,0.046288122997793835,27.27734375,1083,2150,27.0,27.0,27.0,0.0,0.0
n_puzzle,amit7_d27,amit_depth_27,amit,mp-rbfs-best_first,True,False,False,False,0.028860560996690765,27.31640625,851,1715,27.0,27.0,27.0,0.0,0.0
n_puzzle,amit7_d27,amit_depth_27,amit,mp-rbfs-round_robin,True,False,False,False,0.02722005600662669,27.3359375,882,1782,27.0,27.0,27.0,0.0,0.0
n_puzzle,amit7_d27,amit_depth_27,amit,mp-rbfs-proportional,True,False,False,False,0.0258772110028076,27.33984375,742,1511,29.0,29.0,27.0,2.0,2.0
n_puzzle,amit8_d28,amit_depth_28,amit,astar,True,False,False,False,0.13919681499828584,28.4375,3352,6799,28.0,28.0,28.0,0.0,0.0
n_puzzle,amit8_d28,amit_depth_28,amit,ilbfs,True,False,False,False,15.90676072199858,28.4765625,182461,377886,28.0,28.0,28.0,0.0,0.0
n_puzzle,amit8_d28,amit_depth_28,amit,rbfs,True,False,False,False,0.31122348299686564,31.4609375,6013,11861,28.0,28.0,28.0,0.0,0.0
n_puzzle,amit8_d28,amit_depth_28,amit,mp-rbfs-best_first,True,False,False,False,0.14499917400098639,34.89453125,3497,7094,28.0,28.0,28.0,0.0,0.0
n_puzzle,amit8_d28,amit_depth_28,amit,mp-rbfs-round_robin,True,False,False,False,0.0536916389974067,35.02734375,1649,3392,28.0,28.0,28.0,0.0,0.0
n_puzzle,amit8_d28,amit_depth_28,amit,mp-rbfs-proportional,True,False,False,False,0.0649978830042528,35.03515625,1753,3593,28.0,28.0,28.0,0.0,0.0
n_puzzle,amit9_d29,amit_depth_29,amit,astar,True,False,False,False,0.04053810799814528,35.03515625,1091,2208,29.0,29.0,29.0,0.0,0.0
n_puzzle,amit9_d29,amit_depth_29,amit,ilbfs,True,False,False,False,2.2825764680019347,35.03515625,26272,56252,29.0,29.0,29.0,0.0,0.0
n_puzzle,amit9_d29,amit_depth_29,amit,rbfs,True,False,False,False,0.12915928900474682,36.1328125,2901,5740,29.0,29.0,29.0,0.0,0.0
n_puzzle,amit9_d29,amit_depth_29,amit,mp-rbfs-best_first,True,False,False,False,0.05867870899965055,36.828125,1571,3179,29.0,29.0,29.0,0.0,0.0
n_puzzle,amit9_d29,amit_depth_29,amit,mp-rbfs-round_robin,True,False,False,False,0.09040871099568903,37.38671875,2716,5504,29.0,29.0,29.0,0.0,0.0
n_puzzle,amit9_d29,amit_depth_29,amit,mp-rbfs-proportional,True,False,False,False,0.095830238002236,37.5,2634,5342,29.0,29.0,29.0,0.0,0.0
n_puzzle,amit10_d30,amit_depth_30,amit,astar,True,False,False,False,0.22627243600436486,37.88671875,5013,10119,30.0,30.0,30.0,0.0,0.0
n_puzzle,amit10_d30,amit_depth_30,amit,ilbfs,False,False,True,False,210.01367280600243,37.97265625,2344300,5000001,,,30.0,,
n_puzzle,amit10_d30,amit_depth_30,amit,rbfs,True,False,False,False,0.324642922001658,40.15234375,7216,14266,30.0,30.0,30.0,0.0,0.0
n_puzzle,amit10_d30,amit_depth_30,amit,mp-rbfs-best_first,True,False,False,False,0.4309670300062862,42.58984375,9779,19468,30.0,30.0,30.0,0.0,0.0
n_puzzle,amit10_d30,amit_depth_30,amit,mp-rbfs-round_robin,True,False,False,False,1.2215458040009253,76.203125,29269,58471,30.0,30.0,30.0,0.0,0.0
n_puzzle,amit10_d30,amit_depth_30,amit,mp-rbfs-proportional,True,False,False,False,1.3495328860008158,76.375,27153,54259,30.0,30.0,30.0,0.0,0.0
n_puzzle,amit11_d31,amit_depth_31,amit,astar,True,False,False,False,0.011197364998224657,76.375,323,658,31.0,31.0,31.0,0.0,0.0
n_puzzle,amit11_d31,amit_depth_31,amit,ilbfs,True,False,False,False,0.05694216399569996,76.375,735,1533,31.0,31.0,31.0,0.0,0.0
n_puzzle,amit11_d31,amit_depth_31,amit,rbfs,True,False,False,False,0.016063879993453156,76.375,409,811,31.0,31.0,31.0,0.0,0.0
n_puzzle,amit11_d31,amit_depth_31,amit,mp-rbfs-best_first,True,False,False,False,0.027313143997162115,76.375,776,1579,31.0,31.0,31.0,0.0,0.0
n_puzzle,amit11_d31,amit_depth_31,amit,mp-rbfs-round_robin,True,False,False,False,0.0371361790021183,76.375,1160,2377,31.0,31.0,31.0,0.0,0.0
n_puzzle,amit11_d31,amit_depth_31,amit,mp-rbfs-proportional,True,False,False,False,0.041823139996267855,76.375,1194,2426,31.0,31.0,31.0,0.0,0.0
n_puzzle,amit12_d32,amit_depth_32,amit,astar,True,False,False,False,0.20045194100384833,76.375,5026,10090,32.0,32.0,32.0,0.0,0.0
n_puzzle,amit12_d32,amit_depth_32,amit,ilbfs,True,False,False,False,9.982791497997823,76.375,120207,244701,32.0,32.0,32.0,0.0,0.0
n_puzzle,amit12_d32,amit_depth_32,amit,rbfs,True,False,False,False,0.42725685000186786,76.375,9456,18537,32.0,32.0,32.0,0.0,0.0
n_puzzle,amit12_d32,amit_depth_32,amit,mp-rbfs-best_first,True,False,False,False,0.577486633999797,76.375,12764,25219,32.0,32.0,32.0,0.0,0.0
n_puzzle,amit12_d32,amit_depth_32,amit,mp-rbfs-round_robin,True,False,False,False,3.788900507002836,162.46484375,79693,155440,32.0,32.0,32.0,0.0,0.0
n_puzzle,amit12_d32,amit_depth_32,amit,mp-rbfs-proportional,True,False,False,False,3.5618836319990805,162.6171875,67368,131552,32.0,32.0,32.0,0.0,0.0
n_puzzle,amit13_d33,amit_depth_33,amit,astar,True,False,False,False,3.388506310999219,162.6171875,77527,150718,33.0,33.0,33.0,0.0,0.0
n_puzzle,amit13_d33,amit_depth_33,amit,ilbfs,False,False,True,False,214.16166441699897,162.6171875,2558450,5000001,,,33.0,,
n_puzzle,amit13_d33,amit_depth_33,amit,rbfs,True,False,False,False,5.688036733001354,214.65234375,98169,188287,33.0,33.0,33.0,0.0,0.0
n_puzzle,amit13_d33,amit_depth_33,amit,mp-rbfs-best_first,True,False,False,False,4.11208850100229,219.66015625,78044,151248,33.0,33.0,33.0,0.0,0.0
n_puzzle,amit13_d33,amit_depth_33,amit,mp-rbfs-round_robin,True,False,False,False,6.791774441997404,261.20703125,131815,255270,33.0,33.0,33.0,0.0,0.0
n_puzzle,amit13_d33,amit_depth_33,amit,mp-rbfs-proportional,True,False,False,False,6.517127225997683,261.55078125,123910,239830,33.0,33.0,33.0,0.0,0.0
n_puzzle,amit14_d34,amit_depth_34,amit,astar,True,False,False,False,0.24053679299686337,229.55078125,5931,11804,34.0,34.0,34.0,0.0,0.0
n_puzzle,amit14_d34,amit_depth_34,amit,ilbfs,False,False,True,False,212.41034258199943,229.55078125,2374046,5000002,,,34.0,,
n_puzzle,amit14_d34,amit_depth_34,amit,rbfs,True,False,False,False,0.4478698559978511,229.55078125,9857,19284,34.0,34.0,34.0,0.0,0.0
n_puzzle,amit14_d34,amit_depth_34,amit,mp-rbfs-best_first,True,False,False,False,0.5340243219980039,229.55078125,11818,23314,34.0,34.0,34.0,0.0,0.0
n_puzzle,amit14_d34,amit_depth_34,amit,mp-rbfs-round_robin,True,False,False,False,1.663808760997199,225.61328125,36634,71808,34.0,34.0,34.0,0.0,0.0
n_puzzle,amit14_d34,amit_depth_34,amit,mp-rbfs-proportional,True,False,False,False,1.550954879996425,225.61328125,32404,63559,34.0,34.0,34.0,0.0,0.0
n_puzzle,amit15_d35,amit_depth_35,amit,astar,True,False,False,False,0.7870408060043701,223.62890625,17277,33882,35.0,35.0,35.0,0.0,0.0
