group_name,proposed_algorithm,baseline_algorithm,proposed_success_rate,baseline_success_rate,success_rate_delta,proposed_avg_runtime_s_solved,baseline_avg_runtime_s_solved,runtime_ratio_proposed_over_baseline,proposed_avg_peak_memory_mb,baseline_avg_peak_memory_mb,memory_ratio_proposed_over_baseline,proposed_avg_nodes_expanded,baseline_avg_nodes_expanded,expanded_ratio_proposed_over_baseline,proposed_avg_solution_cost,baseline_avg_solution_cost,solution_cost_delta,interpretation
all_domains,mp-rbfs-best_first,ilbfs,0.0,,,,,,1758.7421875,,,2756034.6666666665,,,,,,Both solved the same number of instances with comparable performance.
all_domains,mp-rbfs-best_first,rbfs,0.0,0.6666666666666666,-0.6666666666666666,,20.824633748503402,,1758.7421875,2223.9036458333335,0.7908356060277828,2756034.6666666665,1152056.6666666667,2.3922735282118643,,44.0,,Baseline solved more instances than proposed.
all_domains,mp-rbfs-best_first,mp-bfs-best_first,0.0,1.0,-1.0,,50.430240558984224,,1758.7421875,2152.2591145833335,0.8171609893915973,2756034.6666666665,889425.6666666666,3.098667791987114,,47.666666666666664,,Baseline solved more instances than proposed.
all_domains,mp-bfs-best_first,astar,1.0,0.6666666666666666,0.33333333333333337,50.430240558984224,8.370971224998357,6.024419294189381,2152.2591145833335,1728.3489583333333,1.2452688470150042,889425.6666666666,1013827.6666666666,0.8772947276049217,47.666666666666664,44.0,3.6666666666666643,Proposed solved more instances but was slower on solved cases.
n_puzzle,mp-rbfs-best_first,ilbfs,0.0,,,,,,1758.7421875,,,2756034.6666666665,,,,,,Both solved the same number of instances with comparable performance.
n_puzzle,mp-rbfs-best_first,rbfs,0.0,0.6666666666666666,-0.6666666666666666,,20.824633748503402,,1758.7421875,2223.9036458333335,0.7908356060277828,2756034.6666666665,1152056.6666666667,2.3922735282118643,,44.0,,Baseline solved more instances than proposed.
n_puzzle,mp-rbfs-best_first,mp-bfs-best_first,0.0,1.0,-1.0,,50.430240558984224,,1758.7421875,2152.2591145833335,0.8171609893915973,2756034.6666666665,889425.6666666666,3.098667791987114,,47.666666666666664,,Baseline solved more instances than proposed.
n_puzzle,mp-bfs-best_first,astar,1.0,0.6666666666666666,0.33333333333333337,50.430240558984224,8.370971224998357,6.024419294189381,2152.2591145833335,1728.3489583333333,1.2452688470150042,889425.6666666666,1013827.6666666666,0.8772947276049217,47.666666666666664,44.0,3.6666666666666643,Proposed solved more instances but was slower on solved cases.
