algorithm_name,total_runs,solved_runs,failed_runs,success_rate,memory_limit_rate,node_limit_rate,stack_exhausted_rate,avg_runtime_s_solved,median_runtime_s_solved,avg_peak_memory_mb,avg_nodes_expanded,avg_nodes_generated,avg_solution_cost_solved,avg_solution_depth_solved,avg_optimality_gap_vs_astar,avg_optimality_gap_vs_known_optimal,avg_reexpansions,reexpansion_ratio,avg_total_collapses,collapse_ratio,avg_max_proc_tree_size,avg_proc_switches,avg_phase1_expanded,avg_phase2_expanded,avg_actual_num_procs,avg_winning_proc_expansions
astar,3,2,1,0.6666666666666666,0.0,0.3333333333333333,0.0,8.370971224998357,8.370971224998357,1728.3489583333333,1013827.6666666666,1899054.3333333333,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mp-bfs-best_first,3,3,0,1.0,0.0,0.0,0.0,50.430240558984224,19.126854950969573,2152.2591145833335,889425.6666666666,1655473.0,47.666666666666664,47.666666666666664,0.0,0.0,8714.0,0.009797333635151072,0.0,0.0,0.0,758376.0,100.66666666666667,889325.0,100.66666666666667,9054.0
mp-bfs-proportional,3,3,0,1.0,0.0,0.0,0.0,47.45024494235016,58.64533039700473,2041.15234375,789023.3333333334,1489945.3333333333,53.0,53.0,3.0,5.333333333333333,15553.333333333334,0.019712133565969743,0.0,0.0,0.0,781087.6666666666,100.66666666666667,788922.6666666666,100.66666666666667,7475.0
mp-bfs-round_robin,3,3,0,1.0,0.0,0.0,0.0,44.20012582902564,48.11876610101899,2050.6809895833335,781800.3333333334,1476614.0,53.0,53.0,3.0,5.333333333333333,15357.666666666666,0.019643975593086213,0.0,0.0,0.0,781700.6666666666,100.66666666666667,781699.6666666666,100.66666666666667,7783.333333333333
mp-rbfs-best_first,3,0,3,0.0,0.0,1.0,0.0,,,1758.7421875,2756034.6666666665,5000002.333333333,,,,,616356.3333333334,0.22363881731531196,2755648.6666666665,0.999859943706562,66.66666666666667,713165.6666666666,100.66666666666667,2755934.0,100.66666666666667,0.0
mp-rbfs-proportional,3,0,3,0.0,0.0,1.0,0.0,,,1742.3424479166667,2825308.6666666665,5000002.333333333,,,,,985571.0,0.3488365754962939,2823921.3333333335,0.9995089622066072,71.66666666666667,2796832.3333333335,100.66666666666667,2825208.0,100.66666666666667,0.0
mp-rbfs-round_robin,3,0,3,0.0,0.0,1.0,0.0,,,1744.9674479166667,2827478.6666666665,5000002.666666667,,,,,1048405.0,0.37079148018328695,2826078.0,0.9995046234360035,71.66666666666667,2827378.0,100.66666666666667,2827378.0,100.66666666666667,0.0
rbfs,3,2,1,0.6666666666666666,0.0,0.3333333333333333,0.0,20.824633748503402,20.824633748503402,2223.9036458333335,1152056.6666666667,2112456.0,44.0,44.0,0.0,0.0,0.0,0.0,1393871.6666666667,1.2098985292968807,0.0,0.0,0.0,0.0,0.0,0.0
