algorithm_name,total_runs,solved_runs,failed_runs,success_rate,memory_limit_rate,node_limit_rate,stack_exhausted_rate,avg_runtime_s_solved,median_runtime_s_solved,avg_peak_memory_mb,avg_nodes_expanded,avg_nodes_generated,avg_solution_cost_solved,avg_solution_depth_solved,avg_optimality_gap_vs_astar,avg_optimality_gap_vs_known_optimal,avg_reexpansions,reexpansion_ratio,avg_total_collapses,collapse_ratio,avg_max_proc_tree_size,avg_proc_switches,avg_phase1_expanded,avg_phase2_expanded,avg_actual_num_procs,avg_winning_proc_expansions
astar,20,20,0,1.0,0.0,0.0,0.0,1.2295087682476151,0.16467853699577972,112.2369140625,28167.45,54198.6,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilbfs,20,12,8,0.6,0.0,0.4,0.0,20.835759088916046,0.21844894249807112,106.7796875,1128358.1,2290919.45,26.916666666666668,26.916666666666668,0.0,0.0,500626.55,0.4436770117571718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mp-bfs-best_first,20,20,0,1.0,0.0,0.0,0.0,1.750450975599233,0.2896815480053192,131.2703125,31346.75,60156.9,30.5,30.5,0.0,0.0,363.45,0.011594503417419669,0.0,0.0,0.0,30787.75,93.6,31253.15,89.85,1781.1
mp-rbfs-best_first,20,10,10,0.5,0.0,0.5,0.0,7.298017572597018,0.11564462349633686,116.077734375,1477338.0,2579226.25,25.9,25.9,0.0,0.0,377912.1,0.2558061188434874,1476902.4,0.9997051453357323,43.2,551936.3,93.6,1477244.4,89.85,32.15
rbfs,20,20,0,1.0,0.0,0.0,0.0,2.4353138936552567,0.32248832150071394,133.02421875,42878.55,80960.95,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
