group_name,proposed_algorithm,baseline_algorithm,proposed_success_rate,baseline_success_rate,success_rate_delta,proposed_avg_runtime_s_solved,baseline_avg_runtime_s_solved,runtime_ratio_proposed_over_baseline,proposed_avg_peak_memory_mb,baseline_avg_peak_memory_mb,memory_ratio_proposed_over_baseline,proposed_avg_nodes_expanded,baseline_avg_nodes_expanded,expanded_ratio_proposed_over_baseline,proposed_avg_solution_cost,baseline_avg_solution_cost,solution_cost_delta,interpretation
all_domains,mp-rbfs-best_first,ilbfs,0.5,0.6,-0.09999999999999998,7.298017572597018,20.835759088916046,0.3502640600447012,116.077734375,106.7796875,1.0870769253281436,1477338.0,1128358.1,1.3092811581713286,25.9,26.916666666666668,-1.0166666666666693,Baseline solved more instances than proposed.
all_domains,mp-rbfs-best_first,rbfs,0.5,1.0,-0.5,7.298017572597018,2.4353138936552567,2.9967461654986667,116.077734375,133.02421875,0.872606022164667,1477338.0,42878.55,34.45401022189416,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
all_domains,mp-rbfs-best_first,mp-bfs-best_first,0.5,1.0,-0.5,7.298017572597018,1.750450975599233,4.16922134600124,116.077734375,131.2703125,0.8842649351886018,1477338.0,31346.75,47.12890491039741,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
all_domains,mp-bfs-best_first,astar,1.0,1.0,0.0,1.750450975599233,1.2295087682476151,1.423699465026266,131.2703125,112.2369140625,1.1695823392551676,31346.75,28167.45,1.1128714171854392,30.5,30.5,0.0,Both solved the same number of instances; baseline was faster.
n_puzzle,mp-rbfs-best_first,ilbfs,0.5,0.6,-0.09999999999999998,7.298017572597018,20.835759088916046,0.3502640600447012,116.077734375,106.7796875,1.0870769253281436,1477338.0,1128358.1,1.3092811581713286,25.9,26.916666666666668,-1.0166666666666693,Baseline solved more instances than proposed.
n_puzzle,mp-rbfs-best_first,rbfs,0.5,1.0,-0.5,7.298017572597018,2.4353138936552567,2.9967461654986667,116.077734375,133.02421875,0.872606022164667,1477338.0,42878.55,34.45401022189416,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
n_puzzle,mp-rbfs-best_first,mp-bfs-best_first,0.5,1.0,-0.5,7.298017572597018,1.750450975599233,4.16922134600124,116.077734375,131.2703125,0.8842649351886018,1477338.0,31346.75,47.12890491039741,25.9,30.5,-4.600000000000001,Baseline solved more instances than proposed.
n_puzzle,mp-bfs-best_first,astar,1.0,1.0,0.0,1.750450975599233,1.2295087682476151,1.423699465026266,131.2703125,112.2369140625,1.1695823392551676,31346.75,28167.45,1.1128714171854392,30.5,30.5,0.0,Both solved the same number of instances; baseline was faster.
