difficulty_label,difficulty_depth,algorithm_name,total_runs,solved_runs,success_rate,memory_limit_rate,node_limit_rate,avg_runtime_s_solved,avg_peak_memory_mb,avg_nodes_expanded,avg_nodes_generated,avg_reexpansions,reexpansion_ratio,avg_total_collapses,collapse_ratio,avg_max_proc_tree_size,avg_proc_switches,avg_solution_cost_solved,avg_optimality_gap_vs_astar,avg_optimality_gap_vs_known_optimal
amit_depth_27,27,ilbfs,1,1,1.0,0.0,0.0,0.12068828399060294,27.2578125,1569.0,3274.0,748.0,0.4767367750159337,0.0,0.0,0.0,0.0,27.0,0.0,0.0
amit_depth_27,27,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.044985993998125196,27.2578125,1205.0,2409.0,3.0,0.0024896265560165973,0.0,0.0,0.0,1091.0,27.0,0.0,0.0
amit_depth_27,27,mp-rbfs-best_first,1,1,1.0,0.0,0.0,0.16015835001599044,27.2578125,2178.0,4337.0,639.0,0.29338842975206614,1765.0,0.810376492194674,32.0,1813.0,27.0,0.0,0.0
amit_depth_27,27,rbfs,1,1,1.0,0.0,0.0,0.04582007499993779,27.2578125,1083.0,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
amit_depth_28,28,astar,1,1,1.0,0.0,0.0,0.13212204500450753,27.68359375,3352.0,6799.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
amit_depth_28,28,ilbfs,1,1,1.0,0.0,0.0,15.574447716004215,27.72265625,182461.0,377886.0,88692.0,0.48608743786343384,0.0,0.0,0.0,0.0,28.0,0.0,0.0
amit_depth_28,28,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.18293784899287857,36.5703125,3779.0,7639.0,33.0,0.008732468907118285,0.0,0.0,0.0,3353.0,28.0,0.0,0.0
amit_depth_28,28,mp-rbfs-best_first,1,1,1.0,0.0,0.0,12.169905621994985,36.57421875,135220.0,262974.0,53852.0,0.39825469605088004,134716.0,0.9962727407188285,51.0,11250.0,28.0,0.0,0.0
amit_depth_28,28,rbfs,1,1,1.0,0.0,0.0,0.2757254249881953,34.09765625,6013.0,11861.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
amit_depth_29,29,astar,1,1,1.0,0.0,0.0,0.0393699039996136,35.57421875,1091.0,2208.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
amit_depth_29,29,ilbfs,1,1,1.0,0.0,0.0,2.2717109409859404,35.57421875,26272.0,56252.0,12962.0,0.49337697929354446,0.0,0.0,0.0,0.0,29.0,0.0,0.0
amit_depth_29,29,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.08377674801158719,35.57421875,2019.0,4081.0,18.0,0.008915304606240713,0.0,0.0,0.0,1891.0,29.0,0.0,0.0
amit_depth_29,29,mp-rbfs-best_first,1,0,0.0,0.0,1.0,,35.57421875,2830907.0,5000002.0,1383232.0,0.4886179588379272,2830549.0,0.9998735387633716,49.0,362578.0,,,
amit_depth_29,29,rbfs,1,1,1.0,0.0,0.0,0.12938156400923617,35.57421875,2901.0,5740.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
amit_depth_30,30,astar,1,1,1.0,0.0,0.0,0.19723502898705192,35.58203125,5013.0,10119.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
amit_depth_30,30,ilbfs,1,0,0.0,0.0,1.0,,35.58203125,2344300.0,5000001.0,1029596.0,0.43919122979140895,0.0,0.0,0.0,0.0,,,
amit_depth_30,30,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.45441744101117365,48.4921875,9827.0,19568.0,66.0,0.0067161900885315965,0.0,0.0,0.0,9705.0,30.0,0.0,0.0
amit_depth_30,30,mp-rbfs-best_first,1,0,0.0,0.0,1.0,,48.69921875,2771591.0,5000002.0,617477.0,0.22278792217177787,2771143.0,0.9998383599889017,55.0,463677.0,,,
amit_depth_30,30,rbfs,1,1,1.0,0.0,0.0,0.3692512180132326,37.71875,7216.0,14266.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
amit_depth_31,31,astar,1,1,1.0,0.0,0.0,0.010006869008066133,48.69921875,323.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
amit_depth_31,31,ilbfs,1,1,1.0,0.0,0.0,0.05650366100599058,48.69921875,735.0,1533.0,298.0,0.4054421768707483,0.0,0.0,0.0,0.0,31.0,0.0,0.0
amit_depth_31,31,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.03484977100742981,48.69921875,858.0,1736.0,2.0,0.002331002331002331,0.0,0.0,0.0,765.0,31.0,0.0,0.0
amit_depth_31,31,mp-rbfs-best_first,1,1,1.0,0.0,0.0,0.07113089697668329,48.69921875,1018.0,2084.0,243.0,0.2387033398821218,629.0,0.6178781925343811,39.0,911.0,31.0,0.0,0.0
amit_depth_31,31,rbfs,1,1,1.0,0.0,0.0,0.01591271100915037,48.69921875,409.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
amit_depth_32,32,astar,1,1,1.0,0.0,0.0,0.2010902649781201,48.69921875,5026.0,10090.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
amit_depth_32,32,ilbfs,1,1,1.0,0.0,0.0,9.876242933009053,48.69921875,120207.0,244701.0,52663.0,0.43810260633740133,0.0,0.0,0.0,0.0,32.0,0.0,0.0
amit_depth_32,32,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.39642524701775983,49.40234375,8676.0,17234.0,79.0,0.009105578607653297,0.0,0.0,0.0,8566.0,32.0,0.0,0.0
amit_depth_32,32,mp-rbfs-best_first,1,1,1.0,0.0,0.0,57.57070798199857,49.62109375,739230.0,1241789.0,35384.0,0.04786602275340557,738455.0,0.9989516118122912,54.0,42296.0,32.0,0.0,0.0
amit_depth_32,32,rbfs,1,1,1.0,0.0,0.0,0.4520018080074806,48.71484375,9456.0,18537.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
amit_depth_33,33,astar,1,1,1.0,0.0,0.0,3.6526420839945786,155.6328125,77527.0,150718.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
amit_depth_33,33,ilbfs,1,0,0.0,0.0,1.0,,115.76171875,2558450.0,5000001.0,1256119.0,0.4909687506107213,0.0,0.0,0.0,0.0,,,
amit_depth_33,33,mp-bfs-best_first,1,1,1.0,0.0,0.0,4.444507806998445,224.22265625,78639.0,152432.0,802.0,0.010198502015539363,0.0,0.0,0.0,77851.0,33.0,0.0,0.0
amit_depth_33,33,mp-rbfs-best_first,1,0,0.0,0.0,1.0,,190.81640625,2763393.0,5000002.0,1097854.0,0.39728478721629534,2762715.0,0.9997546494472556,46.0,428633.0,,,
amit_depth_33,33,rbfs,1,1,1.0,0.0,0.0,5.803957017022185,214.8671875,98169.0,188287.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
amit_depth_34,34,astar,1,1,1.0,0.0,0.0,0.24073622000287287,189.83203125,5931.0,11804.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
amit_depth_34,34,ilbfs,1,0,0.0,0.0,1.0,,189.83203125,2374046.0,5000002.0,1076652.0,0.45350932543008854,0.0,0.0,0.0,0.0,,,
amit_depth_34,34,mp-bfs-best_first,1,1,1.0,0.0,0.0,0.6833482479851227,189.83203125,13890.0,27353.0,97.0,0.006983441324694024,0.0,0.0,0.0,13686.0,34.0,0.0,0.0
amit_depth_34,34,mp-rbfs-best_first,1,0,0.0,0.0,1.0,,175.02734375,2602378.0,5000002.0,723857.0,0.2781521362384711,2602087.0,0.9998881791961045,50.0,369680.0,,,
