domain_name,instance_id,difficulty_label,instance_source,algorithm_name,success,memory_limit_reached,node_limit_reached,stack_exhausted,runtime_seconds,peak_memory_mb,nodes_expanded,nodes_generated,solution_cost,solution_depth,known_optimal_depth,optimality_gap_vs_astar,optimality_gap_vs_known_optimal
n_puzzle,korf16_d42,korf_depth_42,korf100,rbfs,True,False,False,False,33.94826837499568,1256.57421875,571803,1079930,42.0,42.0,42.0,0.0,0.0
n_puzzle,korf16_d42,korf_depth_42,korf100,mp-rbfs-best_first,True,False,False,False,44.2184664959932,1392.12890625,758261,1448258,42.0,42.0,42.0,0.0,0.0
n_puzzle,korf16_d42,korf_depth_42,korf100,mp-rbfs-round_robin,True,False,False,False,14.899037244002102,1076.26953125,298693,577910,44.0,44.0,42.0,2.0,2.0
n_puzzle,korf16_d42,korf_depth_42,korf100,mp-rbfs-proportional,True,False,False,False,17.528035048992024,1057.3671875,305472,590454,44.0,44.0,42.0,2.0,2.0
n_puzzle,korf16_d42,korf_depth_42,korf100,astar,True,False,False,False,44.23969351500273,1895.953125,1010736,1930320,42.0,42.0,42.0,0.0,0.0
n_puzzle,korf16_d42,korf_depth_42,korf100,rbfs,True,False,False,False,33.97614537199843,1256.72265625,571803,1079930,42.0,42.0,42.0,0.0,0.0
n_puzzle,korf16_d42,korf_depth_42,korf100,mp-rbfs-best_first,True,False,False,False,43.66265916299017,1392.16015625,758261,1448258,42.0,42.0,42.0,0.0,0.0
n_puzzle,korf16_d42,korf_depth_42,korf100,mp-rbfs-round_robin,True,False,False,False,15.457077573999413,1091.984375,298693,577910,44.0,44.0,42.0,2.0,2.0
n_puzzle,korf16_d42,korf_depth_42,korf100,mp-rbfs-proportional,True,False,False,False,17.975689082988538,1076.015625,305472,590454,44.0,44.0,42.0,2.0,2.0
n_puzzle,korf71_d44,korf_depth_44,korf100,astar,True,False,False,False,24.73069766900153,1139.91015625,566127,1075001,44.0,44.0,44.0,0.0,0.0
n_puzzle,korf71_d44,korf_depth_44,korf100,rbfs,True,False,False,False,43.449780337992706,1440.71484375,743615,1383030,44.0,44.0,44.0,0.0,0.0
n_puzzle,korf71_d44,korf_depth_44,korf100,mp-rbfs-best_first,True,False,False,False,41.17809740299708,1560.37109375,740250,1400295,44.0,44.0,44.0,0.0,0.0
n_puzzle,korf71_d44,korf_depth_44,korf100,mp-rbfs-round_robin,True,False,False,False,119.21166338800685,3834.01953125,2166584,4074840,50.0,50.0,44.0,6.0,6.0
n_puzzle,korf71_d44,korf_depth_44,korf100,mp-rbfs-proportional,True,False,False,False,122.04906469500565,3773.13671875,2075705,3905487,50.0,50.0,44.0,6.0,6.0
n_puzzle,korf12_d45,korf_depth_45,korf100,astar,True,False,False,False,1.3890396500064526,2286.4375,32410,63361,45.0,45.0,45.0,0.0,0.0
n_puzzle,korf12_d45,korf_depth_45,korf100,rbfs,True,False,False,False,2.3866125019994797,2277.5625,49844,97119,45.0,45.0,45.0,0.0,0.0
n_puzzle,korf12_d45,korf_depth_45,korf100,mp-rbfs-best_first,True,False,False,False,1.4340857210045215,2277.5625,34068,66541,45.0,45.0,45.0,0.0,0.0
n_puzzle,korf12_d45,korf_depth_45,korf100,mp-rbfs-round_robin,True,False,False,False,9.697476725006709,2089.953125,183406,356468,45.0,45.0,45.0,0.0,0.0
n_puzzle,korf12_d45,korf_depth_45,korf100,mp-rbfs-proportional,True,False,False,False,9.51163794999593,1986.140625,167574,325740,45.0,45.0,45.0,0.0,0.0
