algorithm_name,total_runs,solved_runs,failed_runs,success_rate,memory_limit_rate,node_limit_rate,stack_exhausted_rate,avg_runtime_s_solved,median_runtime_s_solved,avg_peak_memory_mb,avg_nodes_expanded,avg_nodes_generated,avg_solution_cost_solved,avg_solution_depth_solved,avg_optimality_gap_vs_astar,avg_optimality_gap_vs_known_optimal
astar,11,11,0,1.0,0.0,0.0,0.0,14.43346868354605,6.180458672999521,845.9066051136364,330195.0909090909,632840.8181818182,41.81818181818182,41.81818181818182,0.0,0.0
mp-rbfs-best_first,11,11,0,1.0,0.0,0.0,0.0,16.101466706088765,6.668668662998243,822.3707386363636,288776.0,552212.8181818182,41.81818181818182,41.81818181818182,0.0,0.0
mp-rbfs-proportional,11,11,0,1.0,0.0,0.0,0.0,19.468408352995706,6.753268507993198,911.7993607954545,338737.0909090909,645470.0909090909,44.0,44.0,2.1818181818181817,2.1818181818181817
mp-rbfs-round_robin,11,11,0,1.0,0.0,0.0,0.0,18.55284893700181,6.42306503499276,929.8963068181819,348690.8181818182,664268.2727272727,44.0,44.0,2.1818181818181817,2.1818181818181817
rbfs,11,11,0,1.0,0.0,0.0,0.0,16.481738239087544,9.732241254998371,797.5017755681819,284922.63636363635,538595.4545454546,41.81818181818182,41.81818181818182,0.0,0.0
